Top 1000 values of siteName,Top 100 values of sensorName,Top 3 values of scalarUnit,"average(scalarValue) * 3.6
"
KK-0107-CO-FLO-01 - Kalvebod Brygge (Søsnittet) FLOW tællekamera 01,KK+CO0107.1=001DL000 - S0202 - Average speed,m/s,43.317
KK-0113-RD-VIS-01 - Vasbygade 13 - midt - Radar,KK+RG0113=001DL000 - S0202 - Average speed,m/s,46.252
KK-0113-RD-VIS-02 - Vasbygade 13 - højre - Radar,KK+RG0113.1=001DL000 - S0202 - Average speed,m/s,44.733
KK-0205-CO-VIS-01 - Vesterbrogade / Reventlowsgade - Counting Station,KK+CO0205=001DL001 - S0202 - Average speed,m/s,19.27
KK-0206-CO-VIS-01 - Vesterbrogade / Trommesalen - Counting Station,KK+CO0206=001DL001 - S0202 - Average speed,m/s,16.463
KK-0406-RD-SMI-01 - Gyldenløvesgade / Søgaderne AG 04.06,KK+RG0406=001DL001 - S0202 - Average speed,m/s,23.001
KK-0406-RD-SMI-01 - Gyldenløvesgade / Søgaderne AG 04.06,KK+RG0406=001DL002 - S0202 - Average speed,m/s,22.567
KK-0406-RD-SMI-01 - Gyldenløvesgade / Søgaderne AG 04.06,KK+RG0406=001DL003 - S0202 - Average speed,m/s,1.816
KK-0407-CO-VIS-01 - Gyldenløvesgade (Søsnittet) FLOW - Counting station,KK+CO0407=001DL001 - S0202 - Average speed,m/s,17.224
KK-0502-RD-SMI-01 - Nørre Voldgade / Frederiksborggade AG 05.02,KK+RG0502=001DL001 - S0202 - Average speed,m/s,20.655
KK-0502-RD-SMI-01 - Nørre Voldgade / Frederiksborggade AG 05.02,KK+RG0502=001DL002 - S0202 - Average speed,m/s,23.583
KK-0508-RD-SMI-01  - Nørre Voldgade / Linnésgade AG 05.08,KK+RG0508=001DL001 - S0202 - Average speed,m/s,26.915
KK-0601-RD-VIS-01 - Prinsessegade 54 - Radar,KK+RG0601=001DL000 - S0202 - Average speed,m/s,32.436
KK-0602-CO-FLO-01 - Knippelsbro Flow tællekamera,KK+CO0602=001DL001 - S0202 - Average speed,m/s,25.164
KK-0604-RD-VIS-01 - Prinsessegade 49 - Radar,KK+RG0604=001DL000 - S0202 - Average speed,m/s,29.435
KK-0606-CO-VIS-01 - Amagerbrogade indadgående - Counting station,KK+CO0606=001DL001 - S0202 - Average speed,m/s,20.7
KK-0903-RD-VIS-01 - Sølvgade 4 - Radar,KK+RG0903=001DL000 - S0202 - Average speed,m/s,35.57
KK-0903-RD-VIS-02 - Sølvgade / Rigensgade - Radar,KK+RG0903.1=001DL000 - S0202 - Average speed,m/s,40.205
KK-0906-RD-SMI-01 - Fredens Bro AG 09.06,KK+RG0906=001DL001 - S0202 - Average speed,m/s,17.039
KK-0906-RD-SMI-01 - Fredens Bro AG 09.06,KK+RG0906=001DL002 - S0202 - Average speed,m/s,13.965
KK-0908-CO-VIS-01 - Fredensgade - Counting Station,KK+CO0908.1=001DL001 - S0202 - Average speed,m/s,20.44
KK-0910-RD-VIS-02 - Øster Farigmagsgade / Zinnsgade - Radar,KK+RG0910.1=001DL000 - S0202 - Average speed,m/s,35.043
KK-1002-RD-VIS-01 - Øster Voldgade/ Oslo Plads - Radar,KK+RG1002=001DL000 - S0202 - Average speed,m/s,33.413
KK-1004-RD-VIS-01 - Dag Hammarskjölds Allé /Kristianiagade - Tælleadar,KK+RG1004=001DL000 - S0202 - Average speed,m/s,39.759
KK-1004-RD-VIS-02 - Dag Hammarskjölds Allé 27 - Radar,KK+RG1004.1=001DL000 - S0202 - Average speed,m/s,45.437
KK-1010-RD-VIS-01 - Øster Voldgade 25 – Radar,KK+RG1010=001DL000 - S0202 - Average speed,m/s,41.766
KK-1010-RD-VIS-02 - Øster Voldgade 42 - Radar,KK+RG1010.1=001DL000 - S0202 - Average speed,m/s,32.884
KK-1207-RD-VIS-01 - Strandvejen 85 - midt - nord - Radar,KK+RG1207.1=001DL000 - S0202 - Average speed,m/s,43.459
KK-1207-RD-VIS-02 - Strandvejen 85 - midt - syd - Radar,KK+RG1207.2=001DL000 - S0202 - Average speed,m/s,46.76
KK-1404-RD-SMI-01 - Lyngbyvej / Haraldsgade AG 14.04,KK+RG1404=001DL001 - S0202 - Average speed,m/s,32.073
KK-1404-RD-SMI-01 - Lyngbyvej / Haraldsgade AG 14.04,KK+RG1404=001DL002 - S0202 - Average speed,m/s,36.236
KK-1404-RD-SMI-01 - Lyngbyvej / Haraldsgade AG 14.04,KK+RG1404=001DL003 - S0202 - Average speed,m/s,32.221
KK-1406-CO-VIS-01 - Lyngbyvej / Hammershusgade - Counting Station,KK+CO1406=001DL001 - S0202 - Average speed,m/s,17.848
KK-1501-RD-VIS-01 - Lersø Parkalle 2A - højre - Radar,KK+RG1501=001DL000 - S0202 - Average speed,m/s,30.348
KK-1501-RD-VIS-02 - Lersø Parkalle 2A - midt - Radar,KK+RG1501.1=001DL000 - S0202 - Average speed,m/s,37.969
KK-1504-RD-VIS-01 - Lersø Parkalle 45 - syd for Aldersrogade - Radar,KK+RG1504=001DL000 - S0202 - Average speed,m/s,38.99
KK-1507-RD-VIS-01 - Lersø Parkallé / Gribskovvej - Radar,KK+RG1507=001DL000 - S0202 - Average speed,m/s,41.403
KK-1507-RD-VIS-02  - Lersø Parkallé 151 - Radar,KK+RG1507.1=001DL000 - S0202 - Average speed,m/s,39.01
KK-1509-RD-VIS-01 - Lersø Parkallé 171 - Radar,KK+RG1509=001DL000 - S0202 - Average speed,m/s,33.909
KK-1510-RD-SMI-01 - Tuborgvej / Emdrupvej AG 15.10,KK+RG1510=001DL001 - S0202 - Average speed,m/s,36.095
KK-1510-RD-SMI-01 - Tuborgvej / Emdrupvej AG 15.10,KK+RG1510=001DL002 - S0202 - Average speed,m/s,36.614
KK-1605-RD-SMI-01 - Tagensvej/Jagtvej - AG 16.05,KK+RG0909=001DL001 - S0202 - Average speed,m/s,20.653
KK-1605-RD-SMI-01 - Tagensvej/Jagtvej - AG 16.05,KK+RG0909=001DL002 - S0202 - Average speed,m/s,26.771
KK-1704-RD-VIS-02 - Frederiksborgvej 214 - Radar,KK+RG1704.1=001DL000 - S0202 - Average speed,m/s,39.71
KK-1706-RD-VIS-02 - Frederiksborgvej 92 - Radar,KK+RG1706.1=001DL000 - S0202 - Average speed,m/s,38.133
"KK-1907-CO-SWA-01 - Counting station, Frederikssundsvej 23, Mastra #117",KK+CO1907=001DL001 - S0202 - Average speed,m/s,28.212
KK-2213-RD-VIS-01 - Islevhusvej 85 - højre - øst - Radar,KK+RG2213=001DL000 - S0202 - Average speed,m/s,45.393
