Obs;Active Alarms;Name;Type;Subtype;Intersection;Area;Last Update;Operation mode;Active plan;Info
informational;;01.04;EC-2 Nordic;;Christians Brygge ved det Kgl. Bibliotek;AG01;Sep 2, 2025 1:00:18 PM;ON / Control;PL03/Calendar;EC1+ C prio
attention;Configuration error;01.05;EC-2 Nordic;;Christians Brygge/Vester Voldgade;AG01;Sep 2, 2025 12:54:50 PM;ON / Control;PL04/Calendar;EC-2 C prio
attention;;01.06;EC-2 Nordic;;Kalvebod Brygge/Puggaardsgade;AG01;Sep 2, 2025 1:01:58 PM;ON / Control;PL04/Calendar;EC-2 C prio
attention;Lamp error;01.07 P;EC-2 Nordic;;Kalvebod Brygge/Bernstorffsgade;AG01;Sep 2, 2025 12:48:42 PM;ON / Control;PL04/Calendar;EC-2 B prio
attention;Lamp error;01.08 P;RSMP;;Kalvebod Brygge/Arni Magnussons Gade;AG01;Sep 2, 2025 1:02:35 PM;ON / Control;PL03/Unknown;ITC-3
off;System Alarms;01.09;EC-2 Nordic;;Kalvebod Brygge/DybbÃ¸lsbro;AG01;Jan 28, 2025 4:29:03 PM;Unknown / Unknown;PL-1/Unknown;ITC-2
attention;Lamp error;01.10;EC-2 Nordic;;Vasbygade/Kalvebod Pladsvej;AG01;Sep 2, 2025 12:49:21 PM;ON / Control;PL01/Calendar;EC-2 B prio
attention;Lamp error;01.11;EC-2 Nordic;;Vasbygade/KortlÃ¸b;AG01;Sep 2, 2025 12:52:29 PM;ON / Control;PL04/Calendar;EC-2 B prio
informational;System Alarms;01.12;EC-2 Nordic;;Vasbygade/Forlagt Otto Busses Vej;AG01;Sep 2, 2025 12:59:11 PM;ON / Control;PL04/Calendar;EC-2 B prio
attention;;01.13;EC-2 Nordic;;Vasbygade/Vestre Teglgade;AG01;Sep 2, 2025 1:01:59 PM;ON / Control;PL03/Calendar;EC-2 C-prio
off;Lamp error;01.14 P;RSMP;;Havneholmen-Fisketorvet-Skanska;AG 01;Jul 17, 2025 12:54:23 PM;Unknown / Unknown;PL-1/Unknown;ITC-3
attention;Hardware error;01.15 P;RSMP;;Nelson Mandelas Vej - Bertha Von Suttnersvej ;AG 01;Sep 2, 2025 1:01:32 PM;ON / Control;PL01/Unknown;ITC3
healthy;;02.01 P;RSMP;;Bernstoffsgade - Hambrosgade;AG02;Sep 2, 2025 1:00:30 PM;ON / Control;PL01/Unknown;ITC-3/N
informational;;02.02;EC-2 Nordic;;Bernstorffsgade/Tietgensgade;AG02;Sep 2, 2025 1:04:27 PM;ON / Control;PL03/Calendar;EC-2 C prio
informational;;02.03;EC-2 Nordic;;Bernstroffsgade ved Tivoli;AG02;Sep 2, 2025 1:03:23 PM;ON / Control;PL03/Calendar;EC-1+ A prio
off;System Alarms;02.04;RSMP;;Vesterbrogade/Bernstoffsgade;AG02;Jun 25, 2025 7:51:17 AM;Unknown / Unknown;PL-1/Unknown;ITC-2
attention;Lamp error;02.05;EC-2 Nordic;;Vesterbrogade/Vester Farimagsgade;AG02;Sep 2, 2025 1:04:28 PM;ON / Control;PL02/Calendar;EC-2 C prio
attention;Lamp error;02.06;EC-2 Nordic;;Vesterbrogade/Trommesalen;AG02;Sep 2, 2025 1:04:06 PM;ON / Control;PL02/Calendar;EC-2 C prio
attention;Lamp error;02.07;EC-2 Nordic;;Ved Vesterport/Vester Farimagsgade/Hammerichsgade;AG02;Sep 2, 2025 12:49:45 PM;ON / Control;PL03/Calendar;EC-1+ C prio
healthy;;02.09;EC-2 Nordic;;Vester Farimagsgade/Kampmannsgade/Hammerichsgade - Axeltorv;AG02;Sep 2, 2025 1:03:23 PM;ON / Control;PL03/Calendar;EC-2 C prio
healthy;;02.10;EC-2 Nordic;;Kampmannsgade/Vester SÃ¸gade;AG02;Sep 2, 2025 12:59:11 PM;ON / Control;PL03/Calendar;EC-1+ C prio
healthy;;02.11 P;RSMP;;Carsten Niebuhrsgade - Postbyen udkÃ¸rsel;AG02;Sep 2, 2025 12:59:48 PM;ON / Control;PL03/Unknown;ITC-3
healthy;;02.12 P;RSMP;; Carsten Niebuhrsgade - Arni Magnusssons Gade;AG02;Sep 2, 2025 1:02:35 PM;ON / Control;PL06/Unknown;ITC-3/N
unknown;Hardware error;02.13 P;RSMP;; Carsten Nieburhsgade - Ikea;AG02;Sep 2, 2025 9:38:39 AM;Unknown / Unknown;PL-1/Unknown;ITC-3/N
informational;;03.01;EC-2 Nordic;;Vester Voldgade/Ny Kongensgade;AG03;Sep 2, 2025 1:02:34 PM;ON / Control;PL01/Calendar;EC1+ C prio
healthy;;03.02;EC-2 Nordic;;H. C. Andersens Boulevard/Tietgensgade;AG03;Sep 2, 2025 1:05:20 PM;ON / Control;PL02/Calendar;EC1+ A prio
informational;;03.03;EC-2 Nordic;;H. C. Andersens Boulevard/Niels Brocks Gade;AG03;Sep 2, 2025 1:01:15 PM;ON / Control;PL02/Calendar;B prio
informational;;03.04;EC-2 Nordic;;H. C. Andersens Boulevard/Rysenstensgade;AG03;Sep 2, 2025 1:05:45 PM;ON / Control;PL02/Calendar;B prio
healthy;;03.05;EC-2 Nordic;;Klaksvigsgade/Weidekampsgade;AG03;Sep 2, 2025 12:48:40 PM;ON / Control;PL02/Calendar;EC2 C prio
attention;Lamp error;03.06;EC-2 Nordic;;Amager Boulevard/Klaksvigsgade;AG03;Sep 2, 2025 1:01:59 PM;ON / Control;PL02/Calendar;EC1+ B prio
healthy;;03.07;EC-2 Nordic;;Amager Boulevard/Amager FÃ¦lledvej;AG03;Sep 2, 2025 12:48:44 PM;ON / Control;PL02/Calendar;B prio
healthy;;03.08;EC-2 Nordic;;Njalsgade/Islands Brygge;AG03;Sep 2, 2025 12:48:17 PM;ON / Control;PL03/Calendar;EC1+ C prio
informational;;03.09;EC-2 Nordic;;Amager FÃ¦lledvej/Peter Vedels Gade;AG03;Sep 2, 2025 12:48:41 PM;ON / Control;PL02/Calendar;C prio
attention;;03.10;EC-2 Nordic;;Vester Voldgade/Stormgade/LÃ¸ngangsstrÃ¦de;AG03;Sep 2, 2025 12:51:24 PM;ON / Control;PL02/Calendar;B prio
healthy;;03.11;EC-2 Nordic;;Stormgade/Frederiksholmens Kanal ;AG03;Sep 2, 2025 12:51:23 PM;ON / Control;PL02/Calendar;B prio
off;System Alarms;03.12;RSMP;;Vester Voldgade/Rysensteensgade;AG03;Jun 25, 2025 7:51:47 AM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2
attention;Lamp error;03.13;EC-2 Nordic;;Amager Boulevard/Ã˜restads Blvd;AG03;Sep 2, 2025 1:04:42 PM;ON / Control;PL02/Calendar;B prio
healthy;;03.14;EC-2 Nordic;;Amager Boulevard ved Stadsgraven;AG03;Sep 2, 2025 1:04:42 PM;ON / Control;PL02/Calendar;
healthy;;04.01;EC-2 Nordic;;HCA Boulevard/Vesterbrogade;AG04;Sep 2, 2025 12:48:17 PM;ON / Control;PL02/Calendar;A prio
healthy;;04.02;EC-2 Nordic;;HCA Boulevard/Jernbanegade  ;AG04;Sep 2, 2025 12:49:19 PM;ON / Control;PL02/Calendar;B prio
attention;Lamp error;04.03;EC-2 Nordic;;HCA Boulevard/StudiestrÃ¦de;AG04;Sep 2, 2025 1:04:28 PM;ON / Control;PL02/Calendar;B prio
